

Starting up. (ID: cqU-avod) 21:16.20
---------------------
[21:16:20] cqU-avod MISC: Saved storyteller is 'healer'
[21:16:20] cqU-avod ADMIN: Loading jobban_rank
[21:16:20] cqU-avod ADMIN: jobban_keylist was empty
[21:16:20] cqU-avod ADMIN: Loading Banlist
[21:16:49] cqU-avod ACCESS: Logout: RiotScopez/()
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:17:23] cqU-avod DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:18:04] cqU-avod ADMIN: EVENT *null* has loaded a character.
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 12, but not have that slot!
[21:24:01] cqU-avod GAME: cargo_horizontal loaded at at 171,83,20
[21:24:02] cqU-avod GAME: cargo_vertical loaded at at 158,101,20
[21:24:03] cqU-avod GAME: surgery loaded at at 119,56,20
[21:24:05] cqU-avod GAME: commanderoffice loaded at at 106,47,20
[21:24:07] cqU-avod GAME: cargo_horizontal loaded at at 28,119,20
[21:24:09] cqU-avod GAME: surgery loaded at at 197,47,20
[21:24:12] cqU-avod GAME: armory_secure loaded at at 145,47,20
[21:24:14] cqU-avod GAME: refinery loaded at at 132,20,20
[21:24:15] cqU-avod GAME: armory loaded at at 197,2,20
[21:24:18] cqU-avod GAME: surgery loaded at at 41,101,20
[21:24:19] cqU-avod GAME: office loaded at at 154,49,21
[21:24:19] cqU-avod GAME: storage loaded at at 19,132,21
[21:24:19] cqU-avod GAME: Trash loaded at at 138,95,21
[21:24:19] cqU-avod GAME: morgue loaded at at 75,143,21
[21:24:19] cqU-avod GAME: cryo loaded at at 96,147,21
[21:24:20] cqU-avod GAME: toilet loaded at at 37,82,21
[21:24:20] cqU-avod GAME: toilet loaded at at 72,22,21
[21:24:20] cqU-avod GAME: hydro loaded at at 145,72,21
[21:24:21] cqU-avod GAME: anomalysci loaded at at 28,24,21
[21:24:21] cqU-avod GAME: toilet loaded at at 18,58,21
[21:24:21] cqU-avod GAME: sm_core loaded at at 130,154,21
[21:24:21] cqU-avod GAME: cryo loaded at at 36,151,21
[21:24:21] cqU-avod GAME: barricades loaded at at 132,133,21
[21:24:21] cqU-avod GAME: toilet loaded at at 54,88,21
[21:24:22] cqU-avod GAME: cryo loaded at at 102,129,21
[21:24:22] cqU-avod GAME: Trash loaded at at 62,101,21
[21:24:22] cqU-avod GAME: catwalks loaded at at 139,22,21
[21:24:22] cqU-avod GAME: a lost roach loaded at at 16,114,21
[21:24:22] cqU-avod GAME: office loaded at at 53,26,21
[21:24:22] cqU-avod GAME: toilet loaded at at 142,55,21
[21:24:22] cqU-avod GAME: freezer loaded at at 94,87,21
[21:24:22] cqU-avod GAME: cryo loaded at at 153,20,21
[21:24:23] cqU-avod GAME: sm_core loaded at at 104,26,21
[21:24:23] cqU-avod GAME: anomalysci loaded at at 24,88,21
[21:24:23] cqU-avod GAME: toilet loaded at at 53,39,21
[21:24:23] cqU-avod GAME: cryo loaded at at 50,144,21
[21:24:23] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[21:24:23] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[21:24:23] cqU-avod GAME: toilet loaded at at 91,22,21
[21:24:23] cqU-avod GAME: toilet loaded at at 128,116,21
[21:24:23] cqU-avod GAME: anomalysci loaded at at 25,43,21
[21:24:23] cqU-avod GAME: Medical supplies loaded at at 70,77,21
[21:24:24] cqU-avod GAME: surgery loaded at at 28,101,20
[21:24:24] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[21:24:24] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[21:24:24] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[21:24:24] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[21:24:25] cqU-avod GAME: cargo_horizontal loaded at at 171,92,20
[21:24:25] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[21:24:25] cqU-avod ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[21:24:25] cqU-avod GAME: armory loaded at at 2,101,20
[21:24:35] cqU-avod GAME: armory loaded at at 15,101,20
[21:24:37] cqU-avod GAME: armory_secure loaded at at 41,137,20
[21:24:39] cqU-avod GAME: surgery loaded at at 119,65,20
[21:24:44] cqU-avod GAME: armory loaded at at 158,2,20
[21:24:50] cqU-avod GAME: shooting_range loaded at at 197,56,20
[21:24:50] cqU-avod GAME: blocker loaded at at 54,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 67,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 80,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 93,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 106,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 119,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 132,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 145,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 158,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 171,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 184,137,20
[21:24:50] cqU-avod GAME: blocker loaded at at 197,137,20
[21:24:51] cqU-avod GAME: blocker loaded at at 41,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 54,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 67,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 80,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 93,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 106,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 119,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 132,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 145,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 158,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 171,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 184,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 197,128,20
[21:24:51] cqU-avod GAME: blocker loaded at at 41,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 54,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 67,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 80,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 93,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 106,119,20
[21:24:51] cqU-avod GAME: blocker loaded at at 119,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 132,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 145,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 158,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 171,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 184,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 197,119,20
[21:24:52] cqU-avod GAME: blocker loaded at at 158,110,20
[21:24:52] cqU-avod GAME: blocker loaded at at 171,110,20
[21:24:52] cqU-avod GAME: blocker loaded at at 184,110,20
[21:24:52] cqU-avod GAME: blocker loaded at at 197,110,20
[21:24:52] cqU-avod GAME: blocker loaded at at 54,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 67,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 80,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 171,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 184,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 197,101,20
[21:24:52] cqU-avod GAME: blocker loaded at at 2,92,20
[21:24:52] cqU-avod GAME: blocker loaded at at 15,92,20
[21:24:52] cqU-avod GAME: blocker loaded at at 28,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 41,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 54,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 67,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 80,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 184,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 197,92,20
[21:24:53] cqU-avod GAME: blocker loaded at at 2,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 15,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 28,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 41,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 54,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 67,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 80,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 93,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 106,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 119,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 132,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 184,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 197,83,20
[21:24:53] cqU-avod GAME: blocker loaded at at 2,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 15,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 28,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 41,74,20
[21:24:54] cqU-avod VOTE: <b>Votes:</b><br>	The Guide - 0 vote.<br>	The Mime - 0 vote.<br><b>	The Healer - 1 vote.<br></b>	The Sleeper - 0 vote.<br>	The Jester - 0 vote.<br>	Ghost Town - 0 vote.<br>	The Warrior - 0 vote.<br>	The Chronicler - 0 vote.<br>	Did not vote - 0<br>
[21:24:54] cqU-avod GAME: blocker loaded at at 54,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 67,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 80,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 93,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 106,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 119,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 132,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 158,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 171,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 184,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 197,74,20
[21:24:54] cqU-avod GAME: blocker loaded at at 2,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 15,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 28,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 41,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 54,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 67,65,20
[21:24:54] cqU-avod GAME: blocker loaded at at 80,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 93,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 106,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 158,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 171,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 184,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 197,65,20
[21:24:55] cqU-avod GAME: blocker loaded at at 2,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 15,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 28,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 41,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 54,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 67,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 80,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 93,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 106,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 145,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 158,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 171,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 184,56,20
[21:24:55] cqU-avod GAME: blocker loaded at at 2,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 15,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 28,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 41,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 54,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 67,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 80,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 93,47,20
