

Starting up. (ID: cqr-c9st) 15:41.04
---------------------
[15:41:04] cqr-c9st MISC: Saved storyteller is 'healer'
[15:41:04] cqr-c9st ADMIN: Loading jobban_rank
[15:41:04] cqr-c9st ADMIN: jobban_keylist was empty
[15:41:04] cqr-c9st ADMIN: Loading Banlist
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/() from 64.238.138.250-1871707424 || BYOND v514.1582
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:08] cqr-c9st DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[15:42:08] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:49] cqr-c9st ADMIN: EVENT *null* has loaded a character.
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 12, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 14, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 11, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 13, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 12, but not have that slot!
[15:46:43] cqr-c9st ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[15:46:44] cqr-c9st ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[15:46:44] cqr-c9st ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[15:46:46] cqr-c9st ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[15:47:32] cqr-c9st VOTE: Storyteller vote started by server.
[15:47:38] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) removed the delay.
[15:47:40] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) delayed the game.
[15:47:43] cqr-c9st GAME: Entrance - 1 loaded at at 145,137,20
[15:47:44] cqr-c9st GAME: Escape_Pod_West-East loaded at at 158,137,20
[15:47:44] cqr-c9st GAME: penitentiary loaded at at 171,137,20
[15:47:46] cqr-c9st GAME: Escape_Pod_West-East loaded at at 184,137,20
[15:47:47] cqr-c9st GAME: checkpoint_vertical loaded at at 184,128,20
[15:47:47] cqr-c9st GAME: Escape_Pod_West-East loaded at at 184,119,20
[15:47:49] cqr-c9st GAME: Escape_Pod_West-East loaded at at 197,119,20
[15:47:50] cqr-c9st GAME: garden loaded at at 197,110,20
[15:47:50] cqr-c9st GAME: secure_storage_horizontal loaded at at 184,110,20
[15:47:51] cqr-c9st GAME: penitentiary loaded at at 171,110,20
[15:47:51] cqr-c9st GAME: Escape_Pod_West-East loaded at at 158,110,20
[15:47:52] cqr-c9st GAME: crematorium loaded at at 145,110,20
[15:47:52] cqr-c9st GAME: showers loaded at at 132,110,20
[15:47:52] cqr-c9st GAME: Hallway_4way loaded at at 119,110,20
[15:47:53] cqr-c9st GAME: Hallway_4way loaded at at 106,110,20
[15:47:53] cqr-c9st GAME: Hallway_4way loaded at at 93,110,20
[15:47:54] cqr-c9st GAME: telecoms loaded at at 43,109,21
[15:47:54] cqr-c9st GAME: maintenance asteroid loaded at at 51,39,21
[15:47:55] cqr-c9st GAME: Lab2 loaded at at 74,116,21
[15:47:56] cqr-c9st GAME: over run loaded at at 88,81,21
[15:47:56] cqr-c9st GAME: vault loaded at at 56,72,21
[15:47:57] cqr-c9st GAME: vault loaded at at 111,38,21
[15:47:57] cqr-c9st GAME: garden loaded at at 80,110,20
[15:47:58] cqr-c9st GAME: garden loaded at at 67,110,20
[15:47:58] cqr-c9st GAME: Hallway_4way loaded at at 54,110,20
[15:47:58] cqr-c9st GAME: secure_storage_horizontal loaded at at 41,110,20
[15:47:59] cqr-c9st GAME: secure_storage_horizontal loaded at at 28,110,20
[15:47:59] cqr-c9st GAME: Escape_Pod_West-East loaded at at 15,110,20
[15:48:00] cqr-c9st GAME: autolathe_South-East loaded at at 2,110,20
[15:48:00] cqr-c9st GAME: Escape_Pod_West-East loaded at at 2,101,20
[15:48:00] cqr-c9st GAME: secure_storage_horizontal loaded at at 15,101,20
[15:48:01] cqr-c9st GAME: Escape_Pod_West-East loaded at at 28,101,20
[15:48:03] cqr-c9st GAME: Escape_Pod_West-East loaded at at 41,101,20
[15:48:04] cqr-c9st GAME: Escape_Pod_West-East loaded at at 41,92,20
[15:48:04] cqr-c9st GAME: Escape_Pod_West-East loaded at at 28,92,20
[15:48:04] cqr-c9st GAME: showers loaded at at 15,92,20
[15:48:05] cqr-c9st GAME: crematorium loaded at at 2,92,20
[15:48:11] cqr-c9st GAME: Escape_Pod_West-East loaded at at 2,83,20
[15:48:11] cqr-c9st GAME: Escape_Pod_West-East loaded at at 15,83,20
[15:48:12] cqr-c9st GAME: hallwayatmos_west-east loaded at at 28,83,20
[15:48:12] cqr-c9st GAME: garden loaded at at 41,83,20
[15:48:14] cqr-c9st GAME: checkpoint_horizontal loaded at at 54,83,20
[15:48:14] cqr-c9st GAME: crematorium loaded at at 67,83,20
[15:48:14] cqr-c9st GAME: secure_storage_horizontal loaded at at 80,83,20
[15:48:15] cqr-c9st GAME: Hallway_4way loaded at at 93,83,20
[15:48:15] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has loaded a character.
[15:48:17] cqr-c9st GAME: garden loaded at at 93,74,20
[15:48:17] cqr-c9st GAME: Hallway_4way loaded at at 106,74,20
[15:48:17] cqr-c9st GAME: Escape_Pod_West-East loaded at at 119,74,20
[15:48:18] cqr-c9st GAME: garden loaded at at 132,74,20
[15:48:18] cqr-c9st GAME: Hallway_4way loaded at at 145,74,20
[15:48:18] cqr-c9st GAME: crematorium loaded at at 158,74,20
[15:48:19] cqr-c9st GAME: garden loaded at at 171,74,20
[15:48:20] cqr-c9st GAME: showers loaded at at 184,74,20
[15:48:24] cqr-c9st GAME: Escape_Pod_West-East loaded at at 197,74,20
[15:48:26] cqr-c9st GAME: garden loaded at at 197,65,20
[15:48:26] cqr-c9st GAME: garden loaded at at 184,65,20
[15:48:27] cqr-c9st GAME: Hallway_4way loaded at at 171,65,20
[15:48:27] cqr-c9st GAME: Hallway_4way loaded at at 158,65,20
[15:48:28] cqr-c9st GAME: garden loaded at at 158,56,20
[15:48:28] cqr-c9st GAME: crematorium loaded at at 145,56,20
[15:48:29] cqr-c9st GAME: garden loaded at at 132,56,20
[15:48:29] cqr-c9st GAME: Hallway_4way loaded at at 119,56,20
[15:48:29] cqr-c9st GAME: autolathe_South-East loaded at at 106,56,20
[15:48:31] cqr-c9st GAME: Escape_Pod_West-East loaded at at 106,47,20
[15:48:31] cqr-c9st GAME: Hallway_4way loaded at at 93,47,20
[15:48:32] cqr-c9st GAME: checkpoint_vertical loaded at at 93,38,20
[15:48:33] cqr-c9st GAME: Hallway_4way loaded at at 93,29,20
[15:48:33] cqr-c9st GAME: Hallway_4way loaded at at 80,29,20
[15:48:34] cqr-c9st GAME: Hallway_4way loaded at at 67,29,20
[15:48:34] cqr-c9st GAME: garden loaded at at 54,29,20
[15:48:35] cqr-c9st GAME: penitentiary loaded at at 41,29,20
[15:48:35] cqr-c9st GAME: autolathe_South-East loaded at at 28,29,20
[15:48:36] cqr-c9st GAME: garden loaded at at 28,20,20
[15:48:36] cqr-c9st GAME: crematorium loaded at at 41,20,20
[15:48:37] cqr-c9st GAME: showers loaded at at 54,20,20
[15:48:37] cqr-c9st GAME: penitentiary loaded at at 67,20,20
[15:48:37] cqr-c9st GAME: crematorium loaded at at 80,20,20
[15:48:38] cqr-c9st GAME: Hallway_4way loaded at at 93,20,20
[15:48:38] cqr-c9st GAME: checkpoint_horizontal loaded at at 106,20,20
[15:48:38] cqr-c9st GAME: Escape_Pod_West-East loaded at at 119,20,20
[15:48:39] cqr-c9st GAME: garden loaded at at 132,20,20
[15:48:39] cqr-c9st GAME: Escape_Pod_West-East loaded at at 145,20,20
[15:48:40] cqr-c9st GAME: crematorium loaded at at 158,20,20
[15:48:40] cqr-c9st GAME: Hallway_4way loaded at at 171,20,20
[15:48:40] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has loaded a character.
[15:48:41] cqr-c9st GAME: Escape_Pod_West-East loaded at at 184,20,20
[15:48:42] cqr-c9st GAME: crematorium loaded at at 197,20,20
[15:48:42] cqr-c9st GAME: Hallway_4way loaded at at 197,11,20
[15:48:42] cqr-c9st GAME: garden loaded at at 184,11,20
[15:48:43] cqr-c9st GAME: hallwayatmos_west-east loaded at at 171,11,20
[15:48:43] cqr-c9st GAME: Escape_Pod_West-East loaded at at 158,11,20
[15:48:44] cqr-c9st GAME: Hallway_4way loaded at at 158,2,20
[15:48:44] cqr-c9st GAME: garden loaded at at 171,2,20
[15:48:45] cqr-c9st GAME: garden loaded at at 184,2,20
[15:48:45] cqr-c9st GAME: Exit - 1 loaded at at 197,2,20
[15:49:09] cqr-c9st GAME: office loaded at at 80,47,20
[15:49:11] cqr-c9st GAME: surgery loaded at at 106,38,20
[15:49:11] cqr-c9st GAME: anomaly loaded at at 197,101,20
[15:49:12] cqr-c9st GAME: shooting_range loaded at at 132,11,20
[15:49:12] cqr-c9st GAME: armory loaded at at 158,128,20
[15:49:14] cqr-c9st GAME: surgery loaded at at 197,83,20
[15:49:14] cqr-c9st GAME: mechbay loaded at at 171,119,20
[15:49:14] cqr-c9st GAME: armory loaded at at 93,101,20
[15:49:18] cqr-c9st GAME: cargo_vertical loaded at at 80,38,20
[15:49:20] cqr-c9st GAME: surgery loaded at at 132,65,20
[15:49:21] cqr-c9st GAME: armory loaded at at 145,65,20
[15:49:21] cqr-c9st GAME: armory loaded at at 54,101,20
[15:49:23] cqr-c9st GAME: shooting_range loaded at at 2,74,20
[15:49:24] cqr-c9st GAME: shooting_range loaded at at 119,119,20
[15:49:25] cqr-c9st GAME: cargo_horizontal loaded at at 119,47,20
[15:49:25] cqr-c9st GAME: shooting_range loaded at at 197,128,20
[15:49:26] cqr-c9st GAME: mechbay loaded at at 145,2,20
[15:49:27] cqr-c9st GAME: armory loaded at at 145,47,20
[15:49:29] cqr-c9st GAME: office loaded at at 76,28,21
[15:49:29] cqr-c9st GAME: storage loaded at at 135,99,21
[15:49:30] cqr-c9st GAME: Medical supplies loaded at at 14,20,21
[15:49:30] cqr-c9st GAME: cryo loaded at at 29,26,21
[15:49:30] cqr-c9st GAME: office loaded at at 94,22,21
[15:49:30] cqr-c9st GAME: sm_core loaded at at 140,125,21
[15:49:30] cqr-c9st GAME: Medical supplies loaded at at 114,152,21
[15:49:30] cqr-c9st GAME: toilet loaded at at 74,147,21
[15:49:30] cqr-c9st GAME: anomalysci loaded at at 101,121,21
[15:49:31] cqr-c9st GAME: mechbay loaded at at 15,128,21
[15:49:31] cqr-c9st GAME: storage loaded at at 54,152,21
[15:49:31] cqr-c9st GAME: office loaded at at 136,31,21
[15:49:31] cqr-c9st GAME: barricades loaded at at 29,153,21
[15:49:31] cqr-c9st GAME: sm_core loaded at at 130,143,21
[15:49:32] cqr-c9st GAME: morgue loaded at at 14,34,21
[15:49:32] cqr-c9st GAME: Trash loaded at at 114,118,21
[15:49:32] cqr-c9st GAME: mechbay loaded at at 139,112,21
[15:49:32] cqr-c9st GAME: office loaded at at 118,80,21
[15:49:32] cqr-c9st GAME: office loaded at at 31,40,21
[15:49:32] cqr-c9st GAME: storage loaded at at 17,101,21
[15:49:32] cqr-c9st GAME: mechbay loaded at at 127,120,21
[15:49:33] cqr-c9st GAME: office loaded at at 40,136,21
[15:49:33] cqr-c9st GAME: anomalysci loaded at at 114,66,21
[15:49:33] cqr-c9st GAME: office loaded at at 153,37,21
[15:49:33] cqr-c9st GAME: toilet loaded at at 118,93,21
[15:49:33] cqr-c9st GAME: barricades loaded at at 152,86,21
[15:49:33] cqr-c9st GAME: cryo loaded at at 89,40,21
[15:49:33] cqr-c9st GAME: a lost roach loaded at at 138,64,21
[15:49:33] cqr-c9st GAME: office loaded at at 30,55,21
[15:49:33] cqr-c9st GAME: library loaded at at 113,24,21
[15:49:34] cqr-c9st GAME: cargo_vertical loaded at at 93,119,20
[15:49:36] cqr-c9st GAME: cargo_vertical loaded at at 145,83,20
[15:49:47] cqr-c9st GAME: surgery loaded at at 119,101,20
[15:49:48] cqr-c9st GAME: shooting_range loaded at at 197,56,20
[15:49:53] cqr-c9st GAME: anomaly loaded at at 41,74,20
[15:49:55] cqr-c9st GAME: shooting_range loaded at at 132,2,20
[15:49:56] cqr-c9st GAME: armory loaded at at 106,29,20
[15:49:58] cqr-c9st GAME: anomaly loaded at at 93,11,20
[15:50:00] cqr-c9st VOTE: <b>Votes:</b><br>	The Guide - 0 vote.<br><b>	The Healer - 1 vote.<br></b>	The Mime - 0 vote.<br>	Ghost Town - 0 vote.<br>	The Warrior - 0 vote.<br>	The Sleeper - 0 vote.<br>	The Jester - 0 vote.<br>	The Chronicler - 0 vote.<br>	Did not vote - 0<br>
[15:50:01] cqr-c9st GAME: anomaly loaded at at 15,74,20
[15:50:11] cqr-c9st GAME: office loaded at at 119,2,20
[15:50:16] cqr-c9st GAME: cargo_vertical loaded at at 106,119,20
[15:50:17] cqr-c9st GAME: anomaly loaded at at 197,47,20
[15:50:19] cqr-c9st GAME: shooting_range loaded at at 119,65,20
[15:50:19] cqr-c9st GAME: surgery loaded at at 145,11,20
[15:50:20] cqr-c9st GAME: surgery loaded at at 132,83,20
[15:50:22] cqr-c9st GAME: shooting_range loaded at at 106,65,20
[15:50:23] cqr-c9st GAME: blocker loaded at at 2,137,20
[15:50:23] cqr-c9st GAME: blocker loaded at at 15,137,20
[15:50:23] cqr-c9st GAME: blocker loaded at at 28,137,20
[15:50:23] cqr-c9st GAME: blocker loaded at at 41,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 54,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 67,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 80,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 93,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 106,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 119,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 132,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 197,137,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 2,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 15,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 28,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 41,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 54,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 67,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 80,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 93,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 106,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 119,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 132,128,20
[15:50:24] cqr-c9st GAME: blocker loaded at at 145,128,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 171,128,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 2,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 15,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 28,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 41,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 54,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 67,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 80,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 132,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 145,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 158,119,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 67,101,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 80,101,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 106,101,20
[15:50:25] cqr-c9st GAME: blocker loaded at at 132,101,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 145,101,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 158,101,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 171,101,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 184,101,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 54,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 67,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 80,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 93,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 106,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 119,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 132,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 145,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 158,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 171,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 184,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 197,92,20
[15:50:26] cqr-c9st GAME: blocker loaded at at 106,83,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 119,83,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 158,83,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 171,83,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 184,83,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 28,74,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 54,74,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 67,74,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 80,74,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 2,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 15,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 28,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 41,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 54,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 67,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 80,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 93,65,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 2,56,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 15,56,20
[15:50:27] cqr-c9st GAME: blocker loaded at at 28,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 41,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 54,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 67,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 80,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 93,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 171,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 184,56,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 2,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 15,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 28,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 41,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 54,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 67,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 132,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 158,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 171,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 184,47,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 2,38,20
[15:50:28] cqr-c9st GAME: blocker loaded at at 15,38,20
